player,rookie_season,minutes,usg_pct,pts_per_100,poss_est
De'Aaron Fox,2018,2025.53,,79.93938245879902,1055.8
Lauri Markkanen,2018,2020.02,,101.46949039330478,1018.04
Frank Ntilikina,2018,1705.6483333333333,,70.05386431035527,660.92
Dennis Smith Jr.,2018,2049.105,,80.43471586897122,1302.92
Malik Monk,2018,853.505,,85.7923051842191,490.72
Luke Kennard,2018,1462.7733333333333,,98.33638798815733,567.44
Donovan Mitchell,2018,2638.11,,94.63131265810924,1707.68
Bam Adebayo,2018,1368.185,,98.39920785543362,484.76
Justin Jackson,2018,1506.2583333333334,,95.40055597675007,474.84
T.J. Leaf,2018,459.2433333333333,,101.93413486670153,153.04
John Collins,2018,1784.62,,106.17074770441626,731.84
Jarrett Allen,2018,1441.115,,107.96792230723953,543.6800000000001
OG Anunoby,2018,1481.4616666666666,,104.71454528067324,418.28
Kyle Kuzma,2018,2400.905,,97.75524981897176,1270.52
Josh Hart,2018,1460.5216666666668,,107.04419889502762,463.36
Wes Iwundu,2018,1020.305,,85.2315021587018,268.68
Frank Mason III,2018,983.9933333333332,,83.33333333333333,495.6
Ivan Rabb,2018,515.61,,99.0928810885427,202.84
Semi Ojeleye,2018,1150.21,,84.40096952908587,231.04
Jordan Bell,2018,808.9133333333333,,102.6002506265664,255.36
Dwayne Bacon,2018,712.9983333333333,,77.43362831858407,226.0
Tyler Dorsey,2018,974.21,,90.66081661891117,446.72
Dillon Brooks,2018,2349.8316666666665,,92.66903327004046,969.04
Sterling Brown,2018,776.4466666666667,,90.20618556701031,240.56
Sindarius Thornwell,2018,1155.88,,86.8440502586844,324.72
Deandre Ayton,2019,2182.688333333333,,107.39834686237445,1079.1599999999999
Marvin Bagley III,2019,1567.495,,100.40466452005919,919.28
Luka Dončić,2019,2317.74,,92.68707482993197,1646.4
Jaren Jackson Jr.,2019,1514.6883333333333,,103.14341846758349,773.6800000000001
Trae Young,2019,2503.2816666666668,,88.70893847070143,1746.16
Mo Bamba,2019,766.1933333333334,,93.0766288410047,313.72
Wendell Carter Jr.,2019,1109.8,,93.76030333003628,485.28
Collin Sexton,2019,2605.023333333333,,91.205428419372,1503.2
Mikal Bridges,2019,2417.115,,99.8656777433861,684.92
Shai Gilgeous-Alexander,2019,2173.9066666666668,,94.29359355112432,942.8
Miles Bridges,2019,1696.3333333333333,,100.35637439483594,594.88
Jerome Robinson,2019,320.52,,88.21676118462508,126.96
Kevin Huerter,2019,2048.53,,91.95082464838612,790.64
Josh Okogie,2019,1757.17,,88.74634115961886,642.28
Grayson Allen,2019,416.29333333333335,,88.87952822240943,237.4
Chandler Hutchison,2019,894.615,,91.33694958519465,250.72
Moritz Wagner,2019,446.18,,88.71935539173667,233.32
Landry Shamet,2019,1801.8933333333332,,112.30013065389163,642.92
Omari Spellman,2019,804.5416666666666,,92.26594301221166,294.8
Elie Okobo,2019,958.19,,80.06742520016856,379.68
Jevon Carter,2019,576.5016666666667,,74.11237504308859,232.08
Jalen Brunson,2019,1591.2583333333334,,96.0612071408331,705.8
Mitchell Robinson,2019,1359.5083333333334,,125.84327970939285,385.4
Rodions Kurucs,2019,1293.75,,94.26634656122016,566.48
Bruce Brown,2019,1449.3166666666666,,82.55693581780538,386.4
Justin Jackson,2019,1613.25,,106.23952183103725,548.76
Hamidou Diallo,2019,526.28,,88.80164516732098,213.96
De'Anthony Melton,2019,983.89,,72.81836187813118,343.32
Svi Mykhailiuk,2019,440.13,,78.32744405182567,169.8
Keita Bates-Diop,2019,503.37666666666667,,89.71007604562737,168.32
Ja Morant,2020,2074.3233333333333,,92.30031256769722,1292.52
RJ Barrett,2020,1704.4216666666666,,83.40604096555735,962.76
De'Andre Hunter,2020,2017.935,,91.59837995667326,849.36
Darius Garland,2020,1823.9683333333328,,82.56963977860448,881.68
Jarrett Culver,2020,1505.6066666666666,,82.68232879055711,701.48
Coby White,2020,1674.0,,89.6884396926161,957.76
Jaxson Hayes,2020,1079.715,,119.31243680485338,395.6
Rui Hachimura,2020,1444.0316666666668,,98.39296543359612,659.6
Cam Reddish,2020,1550.745,,86.47085506917668,705.44
P.J. Washington,2020,1758.9916666666666,,95.7079693734498,741.84
Tyler Herro,2020,1508.08,,97.50656167979002,762.0
Sekou Doumbouya,2020,753.7266666666667,,83.4363411619283,291.24
Nickeil Alexander-Walker,2020,590.8033333333333,,79.39812061377424,336.28
Goga Bitadze,2020,471.2916666666667,,89.34136713068771,192.52
Matisse Thybulle,2020,1287.4316666666666,,91.30643036762064,334.04
Brandon Clarke,2020,1300.02,,120.0109724317652,583.28
Grant Williams,2020,1043.2233333333334,,83.22798145806996,284.76
Ty Jerome,2020,327.59,,73.89162561576353,138.04000000000002
Nassir Little,2020,572.485,,92.7924039706517,185.36
Jordan Poole,2020,1273.89,,80.0496530651219,628.36
Kevin Porter Jr.,2020,1161.72,,89.17699305207363,558.44
Cody Martin,2020,902.695,,85.12160228898426,279.6
Daniel Gafford,2020,609.0533333333333,,116.15628299894404,189.4
Eric Paschall,2020,1653.795,,101.17493472584857,827.28
Terance Mann,2020,362.12,,90.92578986039678,108.88
Anthony Edwards,2021,2314.1666666666665,,93.3802023237717,1490.68
LaMelo Ball,2021,1468.5733333333333,,90.26528776978417,889.6
Patrick Williams,2021,1983.3566666666663,,96.1820851688693,681.0
Isaac Okoro,2021,2173.235,,90.4660542236164,714.08
Onyeka Okongwu,2021,601.2083333333334,,112.27102619657278,203.08
Obi Toppin,2021,683.08,,103.92704567860665,243.44
Tyrese Haliburton,2021,1745.6766666666667,,102.35984992659453,735.64
Kira Lewis Jr.,2021,904.4433333333334,,87.17974786498577,393.44
Aaron Nesmith,2021,668.7316666666667,,102.19388711794487,213.32
Isaiah Stewart,2021,1454.8283333333334,,103.97304832713755,516.48
Aleksej Pokusevski,2021,1089.915,,69.84090736088909,525.48
Josh Green,2021,444.63166666666666,,84.08258408258408,120.12
Saddiq Bey,2021,1909.0166666666669,,105.06571204393879,815.6800000000001
Zeke Nnaji,2021,397.2783333333333,,115.64625850340137,117.6
Payton Pritchard,2021,1267.5583333333334,,103.91198044009779,490.8
